trip_id,route_id,direction_id,stop_id,next_stop_id,segment_id,stop_sequence,tod_min,dep_tod_min_mod,travel_time_min,dist_m
2A_D0_T021,2A,0,HT_089,HT_162,HT_089->HT_162,15,577.0,577.0,2.0,1348.564099095273
2A_D0_T021,2A,0,HT_162,HT_205,HT_162->HT_205,16,579.0,579.0,4.0,1424.1083155458577
2A_D0_T021,2A,0,HT_205,HT_170,HT_205->HT_170,17,583.0,583.0,2.0,556.7940721946112
2A_D0_T021,2A,0,HT_170,HT_045,HT_170->HT_045,18,585.0,585.0,2.0,385.8136039822722
2A_D0_T021,2A,0,HT_045,HT_030,HT_045->HT_030,19,587.0,587.0,1.0,507.89582354847795
2A_D0_T021,2A,0,HT_030,HT_201,HT_030->HT_201,20,588.0,588.0,1.0,331.2009133454766
2A_D0_T021,2A,0,HT_201,HT_154,HT_201->HT_154,21,589.0,589.0,1.0,3810.61864048991
2A_D0_T021,2A,0,HT_154,HT_153,HT_154->HT_153,22,590.0,590.0,1.0,4207.027895809453
2A_D0_T021,2A,0,HT_153,HT_013,HT_153->HT_013,23,591.0,591.0,2.0,632.4285019720276
2A_D0_T021,2A,0,HT_013,HT_048,HT_013->HT_048,24,593.0,593.0,2.0,661.7346884160944
2A_D0_T021,2A,0,HT_048,HT_183,HT_048->HT_183,25,595.0,595.0,2.0,764.2459410846355
2A_D0_T021,2A,0,HT_183,HT_064,HT_183->HT_064,26,597.0,597.0,2.0,3572.0221276221964
2A_D0_T021,2A,0,HT_064,HT_004,HT_064->HT_004,27,599.0,599.0,2.0,4162.364346932194
2A_D0_T021,2A,0,HT_004,HT_077,HT_004->HT_077,28,601.0,601.0,1.0,7472.777211191565
2A_D0_T021,2A,0,HT_077,HT_235,HT_077->HT_235,29,602.0,602.0,3.0,9155.531068522061
2A_D0_T021,2A,0,HT_235,HT_038,HT_235->HT_038,30,605.0,605.0,1.0,1224.7585858408772
2A_D0_T021,2A,0,HT_038,HT_077,HT_038->HT_077,31,606.0,606.0,3.0,8083.514811843999
2A_D0_T021,2A,0,HT_077,HT_168,HT_077->HT_168,32,609.0,609.0,3.0,7987.23896905524
2A_D0_T021,2A,0,HT_168,HT_024,HT_168->HT_024,33,612.0,612.0,1.0,329.7143162873189
2A_D0_T021,2A,0,HT_024,HT_194,HT_024->HT_194,34,613.0,613.0,1.0,549.1837445508238
